"","N","Código","Municipio","Mesorregião","Ano","Data","Precipitação mensal (mm)","M","Mes"
"52",52,"83015","Maria da Fé","Sul / Sudoeste de Minas",2016,2016-04-30,13.1,"04","Abr"
"53",53,"83015","Maria da Fé","Sul / Sudoeste de Minas",2016,2016-05-31,54.1,"05","Mai"
"54",54,"83015","Maria da Fé","Sul / Sudoeste de Minas",2016,2016-06-30,155.3,"06","Jun"
"55",55,"83015","Maria da Fé","Sul / Sudoeste de Minas",2016,2016-07-31,0.3,"07","Jul"
"56",56,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-01-31,NA,"01","Jan"
"57",57,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-02-29,NA,"02","Fev"
"58",58,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-03-31,NA,"03","Mar"
"59",59,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-04-30,NA,"04","Abr"
"60",60,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-05-31,NA,"05","Mai"
"61",61,"83015","Maria da Fé","Sul / Sudoeste de Minas",2012,2012-06-30,NA,"06","Jun"
"62",62,"83334","Formoso","Noroeste de Minas",2012,2012-01-31,252,"01","Jan"
"63",63,"83334","Formoso","Noroeste de Minas",2012,2012-02-29,45.6,"02","Fev"
"64",64,"83334","Formoso","Noroeste de Minas",2012,2012-03-31,212.7,"03","Mar"
"65",65,"83334","Formoso","Noroeste de Minas",2012,2012-04-30,45.1,"04","Abr"
"66",66,"83334","Formoso","Noroeste de Minas",2012,2012-05-31,14.1,"05","Mai"
"67",67,"83334","Formoso","Noroeste de Minas",2012,2012-06-30,0.9,"06","Jun"
"68",68,"83334","Formoso","Noroeste de Minas",2012,2012-07-31,0,"07","Jul"
"69",69,"83334","Formoso","Noroeste de Minas",2012,2012-08-31,0,"08","Ago"
"70",70,"83334","Formoso","Noroeste de Minas",2012,2012-09-30,NA,"09","Set"
"71",71,"83334","Formoso","Noroeste de Minas",2012,2012-10-31,32.6,"10","Out"
"72",72,"83334","Formoso","Noroeste de Minas",2012,2012-11-30,339.7,"11","Nov"
"73",73,"83334","Formoso","Noroeste de Minas",2012,2012-12-31,62.7,"12","Dez"
"74",74,"83334","Formoso","Noroeste de Minas",2013,2013-01-31,229.4,"01","Jan"
"75",75,"83334","Formoso","Noroeste de Minas",2013,2013-02-28,140.8,"02","Fev"
"76",76,"83334","Formoso","Noroeste de Minas",2013,2013-03-31,227.8,"03","Mar"
"77",77,"83334","Formoso","Noroeste de Minas",2013,2013-04-30,93.9,"04","Abr"
"78",78,"83334","Formoso","Noroeste de Minas",2013,2013-05-31,0,"05","Mai"
"79",79,"83334","Formoso","Noroeste de Minas",2013,2013-06-30,0.6,"06","Jun"
"80",80,"83334","Formoso","Noroeste de Minas",2013,2013-07-31,0,"07","Jul"
"81",81,"83334","Formoso","Noroeste de Minas",2013,2013-08-31,0,"08","Ago"
"82",82,"83334","Formoso","Noroeste de Minas",2013,2013-09-30,NA,"09","Set"
"83",83,"83334","Formoso","Noroeste de Minas",2013,2013-10-31,80.1,"10","Out"
"84",84,"83334","Formoso","Noroeste de Minas",2013,2013-11-30,107.4,"11","Nov"
"85",85,"83334","Formoso","Noroeste de Minas",2013,2013-12-31,263.4,"12","Dez"
"86",86,"83334","Formoso","Noroeste de Minas",2014,2014-01-31,110.5,"01","Jan"
"87",87,"83334","Formoso","Noroeste de Minas",2014,2014-02-28,167,"02","Fev"
"88",88,"83334","Formoso","Noroeste de Minas",2014,2014-03-31,303.9,"03","Mar"
"89",89,"83334","Formoso","Noroeste de Minas",2014,2014-04-30,109.1,"04","Abr"
"90",90,"83334","Formoso","Noroeste de Minas",2014,2014-05-31,17.6,"05","Mai"
"91",91,"83334","Formoso","Noroeste de Minas",2014,2014-06-30,0.2,"06","Jun"
"92",92,"83334","Formoso","Noroeste de Minas",2014,2014-07-31,0.8,"07","Jul"
"93",93,"83334","Formoso","Noroeste de Minas",2014,2014-08-31,0,"08","Ago"
"94",94,"83334","Formoso","Noroeste de Minas",2014,2014-09-30,NA,"09","Set"
"95",95,"83334","Formoso","Noroeste de Minas",2014,2014-10-31,208,"10","Out"
"96",96,"83334","Formoso","Noroeste de Minas",2014,2014-11-30,173.2,"11","Nov"
"97",97,"83334","Formoso","Noroeste de Minas",2014,2014-12-31,277,"12","Dez"
"98",98,"83334","Formoso","Noroeste de Minas",2015,2015-01-31,69.3,"01","Jan"
"99",99,"83334","Formoso","Noroeste de Minas",2015,2015-02-28,132.1,"02","Fev"
"100",100,"83334","Formoso","Noroeste de Minas",2015,2015-03-31,153.8,"03","Mar"
"101",101,"83334","Formoso","Noroeste de Minas",2015,2015-04-30,199.5,"04","Abr"
"102",102,"83334","Formoso","Noroeste de Minas",2015,2015-05-31,47.8,"05","Mai"
"103",103,"83334","Formoso","Noroeste de Minas",2015,2015-06-30,0,"06","Jun"
"104",104,"83334","Formoso","Noroeste de Minas",2015,2015-07-31,0,"07","Jul"
"105",105,"83334","Formoso","Noroeste de Minas",2015,2015-08-31,0,"08","Ago"
"106",106,"83334","Formoso","Noroeste de Minas",2015,2015-09-30,NA,"09","Set"
"107",107,"83334","Formoso","Noroeste de Minas",2015,2015-10-31,42.8,"10","Out"
"108",108,"83334","Formoso","Noroeste de Minas",2015,2015-11-30,106.6,"11","Nov"
"109",109,"83334","Formoso","Noroeste de Minas",2015,2015-12-31,53,"12","Dez"
"110",110,"83334","Formoso","Noroeste de Minas",2016,2016-01-31,425.1,"01","Jan"
"111",111,"83334","Formoso","Noroeste de Minas",2016,2016-02-29,111.8,"02","Fev"
"112",112,"83334","Formoso","Noroeste de Minas",2016,2016-03-31,111,"03","Mar"
"113",113,"83334","Formoso","Noroeste de Minas",2016,2016-04-30,27.6,"04","Abr"
"114",114,"83334","Formoso","Noroeste de Minas",2016,2016-05-31,0,"05","Mai"
"115",115,"83334","Formoso","Noroeste de Minas",2016,2016-06-30,4.2,"06","Jun"
"116",116,"83334","Formoso","Noroeste de Minas",2016,2016-07-31,0,"07","Jul"
"117",117,"83334","Formoso","Noroeste de Minas",2016,2016-08-31,0,"08","Ago"
"118",118,"83334","Formoso","Noroeste de Minas",2016,2016-09-30,NA,"09","Set"
"119",119,"83334","Formoso","Noroeste de Minas",2016,2016-10-31,61.2,"10","Out"
"120",120,"83334","Formoso","Noroeste de Minas",2016,2016-11-30,271.2,"11","Nov"
"121",121,"83334","Formoso","Noroeste de Minas",2016,2016-12-31,186.8,"12","Dez"
"122",122,"83334","Formoso","Noroeste de Minas",2017,2017-01-31,151.6,"01","Jan"
