"","N","Código","Municipio","Mesorregião","Ano","Data","Precipitação mensal (mm)","M","Mes"
"3995",3995,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2018,2018-10-31,112.3,"10","Out"
"3996",3996,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2018,2018-11-30,183.4,"11","Nov"
"3997",3997,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2018,2018-12-31,217.4,"12","Dez"
"3998",3998,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-01-31,6.3,"01","Jan"
"3999",3999,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-02-28,232.6,"02","Fev"
"4000",4000,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-03-31,142.5,"03","Mar"
"4001",4001,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-04-30,102.9,"04","Abr"
"4002",4002,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-05-31,55.2,"05","Mai"
"4003",4003,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-06-30,0.9,"06","Jun"
"4004",4004,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-07-31,1.9,"07","Jul"
"4005",4005,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-08-31,4.4,"08","Ago"
"4006",4006,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-09-30,21.1,"09","Set"
"4007",4007,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-10-31,69.3,"10","Out"
"4008",4008,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-11-30,191.9,"11","Nov"
"4009",4009,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2019,2019-12-31,218.9,"12","Dez"
"4010",4010,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-01-31,476.6,"01","Jan"
"4011",4011,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-02-29,193.4,"02","Fev"
"4012",4012,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-03-31,307.3,"03","Mar"
"4013",4013,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-04-30,43.7,"04","Abr"
"4014",4014,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-05-31,NA,"05","Mai"
"4015",4015,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-06-30,6.4,"06","Jun"
"4016",4016,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-07-31,8.5,"07","Jul"
"4017",4017,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-08-31,8.7,"08","Ago"
"4018",4018,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-09-30,3.8,"09","Set"
"4019",4019,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-10-31,235.9,"10","Out"
"4020",4020,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-11-30,NA,"11","Nov"
"4021",4021,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2020,2020-12-31,197,"12","Dez"
"4022",4022,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-01-31,90.2,"01","Jan"
"4023",4023,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-02-28,226.3,"02","Fev"
"4024",4024,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-03-31,51.3,"03","Mar"
"4025",4025,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-04-30,54,"04","Abr"
"4026",4026,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-05-31,0,"05","Mai"
"4027",4027,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-06-30,0.7,"06","Jun"
"4028",4028,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-07-31,0,"07","Jul"
"4029",4029,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-08-31,11,"08","Ago"
"4030",4030,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-09-30,12.7,"09","Set"
"4031",4031,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-10-31,238.4,"10","Out"
"4032",4032,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-11-30,247.4,"11","Nov"
"4033",4033,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2021,2021-12-31,289.4,"12","Dez"
"4034",4034,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-01-31,282.3,"01","Jan"
"4035",4035,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-02-28,341.3,"02","Fev"
"4036",4036,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-03-31,3.2,"03","Mar"
"4037",4037,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-04-30,33.3,"04","Abr"
"4038",4038,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-05-31,31.3,"05","Mai"
"4039",4039,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-06-30,NA,"06","Jun"
"4040",4040,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-07-31,0.4,"07","Jul"
"4041",4041,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-08-31,0,"08","Ago"
"4042",4042,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-09-30,71.4,"09","Set"
"4043",4043,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-10-31,72,"10","Out"
"4044",4044,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-11-30,292,"11","Nov"
"4045",4045,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2022,2022-12-31,NA,"12","Dez"
"4046",4046,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-01-31,436.9,"01","Jan"
"4047",4047,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-02-28,46,"02","Fev"
"4048",4048,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-03-31,3.6,"03","Mar"
"4049",4049,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-04-30,22.1,"04","Abr"
"4050",4050,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-05-31,4.9,"05","Mai"
"4051",4051,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-06-30,0,"06","Jun"
"4052",4052,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-07-31,28.4,"07","Jul"
"4053",4053,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-08-31,53.8,"08","Ago"
"4054",4054,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-09-30,NA,"09","Set"
"4055",4055,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-10-31,55.5,"10","Out"
"4056",4056,"83589","Conceição do Mato Dentro","Metropolitana de Belo Horizonte",2023,2023-11-30,44.6,"11","Nov"
"4057",4057,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-01-31,341.6,"01","Jan"
"4058",4058,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-02-29,12.6,"02","Fev"
"4059",4059,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-03-31,166.2,"03","Mar"
"4060",4060,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-04-30,12.9,"04","Abr"
"4061",4061,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-05-31,52.4,"05","Mai"
"4062",4062,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-06-30,6.1,"06","Jun"
"4063",4063,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-07-31,1.8,"07","Jul"
"4064",4064,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-08-31,18.2,"08","Ago"
"4065",4065,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-09-30,7.2,"09","Set"
"4066",4066,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-10-31,39.8,"10","Out"
"4067",4067,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-11-30,360,"11","Nov"
"4068",4068,"83591","João Monlevade","Metropolitana de Belo Horizonte",2012,2012-12-31,76.9,"12","Dez"
"4069",4069,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-01-31,242.6,"01","Jan"
"4070",4070,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-02-28,64.4,"02","Fev"
"4071",4071,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-03-31,134.4,"03","Mar"
"4072",4072,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-04-30,74.3,"04","Abr"
"4073",4073,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-05-31,58.1,"05","Mai"
"4074",4074,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-06-30,28,"06","Jun"
"4075",4075,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-07-31,0,"07","Jul"
"4076",4076,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-08-31,2.6,"08","Ago"
"4077",4077,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-09-30,52.7,"09","Set"
"4078",4078,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-10-31,113.4,"10","Out"
"4079",4079,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-11-30,170.7,"11","Nov"
"4080",4080,"83591","João Monlevade","Metropolitana de Belo Horizonte",2013,2013-12-31,547.7,"12","Dez"
"4081",4081,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-01-31,128.2,"01","Jan"
"4082",4082,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-02-28,80.8,"02","Fev"
"4083",4083,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-03-31,95,"03","Mar"
"4084",4084,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-04-30,97.2,"04","Abr"
"4085",4085,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-05-31,0.8,"05","Mai"
"4086",4086,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-06-30,5,"06","Jun"
"4087",4087,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-07-31,26.2,"07","Jul"
"4088",4088,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-08-31,24.6,"08","Ago"
"4089",4089,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-09-30,0.8,"09","Set"
"4090",4090,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-10-31,98.2,"10","Out"
"4091",4091,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-11-30,260.8,"11","Nov"
"4092",4092,"83591","João Monlevade","Metropolitana de Belo Horizonte",2014,2014-12-31,219,"12","Dez"
"4093",4093,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-01-31,6.6,"01","Jan"
"4094",4094,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-02-28,189,"02","Fev"
"4095",4095,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-03-31,134,"03","Mar"
"4096",4096,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-04-30,163.2,"04","Abr"
"4097",4097,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-05-31,85.4,"05","Mai"
"4098",4098,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-06-30,15.2,"06","Jun"
"4099",4099,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-07-31,14.8,"07","Jul"
"4100",4100,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-08-31,12.2,"08","Ago"
"4101",4101,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-09-30,28.2,"09","Set"
"4102",4102,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-10-31,NA,"10","Out"
"4103",4103,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-11-30,190.2,"11","Nov"
"4104",4104,"83591","João Monlevade","Metropolitana de Belo Horizonte",2015,2015-12-31,178,"12","Dez"
"4105",4105,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-01-31,421.9,"01","Jan"
"4106",4106,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-02-29,45,"02","Fev"
"4107",4107,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-03-31,89,"03","Mar"
"4108",4108,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-04-30,80.3,"04","Abr"
"4109",4109,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-05-31,4.2,"05","Mai"
"4110",4110,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-06-30,33.4,"06","Jun"
"4111",4111,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-07-31,0.7,"07","Jul"
"4112",4112,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-08-31,0.6,"08","Ago"
"4113",4113,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-09-30,93.2,"09","Set"
"4114",4114,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-10-31,63.2,"10","Out"
"4115",4115,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-11-30,295.6,"11","Nov"
"4116",4116,"83591","João Monlevade","Metropolitana de Belo Horizonte",2016,2016-12-31,263.6,"12","Dez"
"4117",4117,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-01-31,184.4,"01","Jan"
"4118",4118,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-02-28,60.6,"02","Fev"
"4119",4119,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-03-31,246.4,"03","Mar"
"4120",4120,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-04-30,75.9,"04","Abr"
"4121",4121,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-05-31,40.3,"05","Mai"
"4122",4122,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-06-30,5,"06","Jun"
"4123",4123,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-07-31,1.8,"07","Jul"
"4124",4124,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-08-31,0,"08","Ago"
"4125",4125,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-09-30,NA,"09","Set"
"4126",4126,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-10-31,74.6,"10","Out"
"4127",4127,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-11-30,212.4,"11","Nov"
"4128",4128,"83591","João Monlevade","Metropolitana de Belo Horizonte",2017,2017-12-31,248,"12","Dez"
"4129",4129,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-01-31,161.8,"01","Jan"
"4130",4130,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-02-28,459.2,"02","Fev"
"4131",4131,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-03-31,283.4,"03","Mar"
"4132",4132,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-04-30,105.4,"04","Abr"
"4133",4133,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-05-31,NA,"05","Mai"
"4134",4134,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-06-30,5.6,"06","Jun"
"4135",4135,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-07-31,1,"07","Jul"
"4136",4136,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-08-31,38.4,"08","Ago"
"4137",4137,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-09-30,43.2,"09","Set"
"4138",4138,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-10-31,74.3,"10","Out"
"4139",4139,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-11-30,190.4,"11","Nov"
"4140",4140,"83591","João Monlevade","Metropolitana de Belo Horizonte",2018,2018-12-31,305.4,"12","Dez"
"4141",4141,"83591","João Monlevade","Metropolitana de Belo Horizonte",2019,2019-01-31,68.8,"01","Jan"
"4142",4142,"83591","João Monlevade","Metropolitana de Belo Horizonte",2019,2019-02-28,222.6,"02","Fev"
"4143",4143,"83591","João Monlevade","Metropolitana de Belo Horizonte",2019,2019-03-31,248.4,"03","Mar"
"4144",4144,"83591","João Monlevade","Metropolitana de Belo Horizonte",2019,2019-04-30,89,"04","Abr"
"4145",4145,"83592","Caratinga","Vale do Rio Doce",2012,2012-01-31,207.7,"01","Jan"
"4146",4146,"83592","Caratinga","Vale do Rio Doce",2012,2012-02-29,15.9,"02","Fev"
"4147",4147,"83592","Caratinga","Vale do Rio Doce",2012,2012-03-31,113.1,"03","Mar"
"4148",4148,"83592","Caratinga","Vale do Rio Doce",2012,2012-04-30,45.4,"04","Abr"
"4149",4149,"83592","Caratinga","Vale do Rio Doce",2012,2012-05-31,74.8,"05","Mai"
"4150",4150,"83592","Caratinga","Vale do Rio Doce",2012,2012-06-30,4.7,"06","Jun"
"4151",4151,"83592","Caratinga","Vale do Rio Doce",2012,2012-07-31,1.5,"07","Jul"
"4152",4152,"83592","Caratinga","Vale do Rio Doce",2012,2012-08-31,11.9,"08","Ago"
"4153",4153,"83592","Caratinga","Vale do Rio Doce",2012,2012-09-30,14.3,"09","Set"
"4154",4154,"83592","Caratinga","Vale do Rio Doce",2012,2012-10-31,22.4,"10","Out"
"4155",4155,"83592","Caratinga","Vale do Rio Doce",2012,2012-11-30,387.4,"11","Nov"
"4156",4156,"83592","Caratinga","Vale do Rio Doce",2012,2012-12-31,45.5,"12","Dez"
"4157",4157,"83592","Caratinga","Vale do Rio Doce",2013,2013-01-31,245.9,"01","Jan"
"4158",4158,"83592","Caratinga","Vale do Rio Doce",2013,2013-02-28,173.2,"02","Fev"
"4159",4159,"83592","Caratinga","Vale do Rio Doce",2013,2013-03-31,175,"03","Mar"
"4160",4160,"83592","Caratinga","Vale do Rio Doce",2013,2013-04-30,53.4,"04","Abr"
"4161",4161,"83592","Caratinga","Vale do Rio Doce",2013,2013-05-31,70.9,"05","Mai"
"4162",4162,"83592","Caratinga","Vale do Rio Doce",2013,2013-06-30,22.3,"06","Jun"
"4163",4163,"83592","Caratinga","Vale do Rio Doce",2013,2013-07-31,18.7,"07","Jul"
"4164",4164,"83592","Caratinga","Vale do Rio Doce",2013,2013-08-31,5.4,"08","Ago"
"4165",4165,"83592","Caratinga","Vale do Rio Doce",2013,2013-09-30,45.9,"09","Set"
"4166",4166,"83592","Caratinga","Vale do Rio Doce",2013,2013-10-31,80.2,"10","Out"
"4167",4167,"83592","Caratinga","Vale do Rio Doce",2013,2013-11-30,167.2,"11","Nov"
"4168",4168,"83592","Caratinga","Vale do Rio Doce",2013,2013-12-31,469.9,"12","Dez"
"4169",4169,"83592","Caratinga","Vale do Rio Doce",2014,2014-01-31,45.3,"01","Jan"
"4170",4170,"83592","Caratinga","Vale do Rio Doce",2014,2014-02-28,39.3,"02","Fev"
"4171",4171,"83592","Caratinga","Vale do Rio Doce",2014,2014-03-31,132.2,"03","Mar"
"4172",4172,"83592","Caratinga","Vale do Rio Doce",2014,2014-04-30,87.8,"04","Abr"
"4173",4173,"83592","Caratinga","Vale do Rio Doce",2014,2014-05-31,51.9,"05","Mai"
"4174",4174,"83592","Caratinga","Vale do Rio Doce",2014,2014-06-30,0.5,"06","Jun"
"4175",4175,"83592","Caratinga","Vale do Rio Doce",2014,2014-07-31,18.6,"07","Jul"
"4176",4176,"83592","Caratinga","Vale do Rio Doce",2014,2014-08-31,1.8,"08","Ago"
"4177",4177,"83592","Caratinga","Vale do Rio Doce",2014,2014-09-30,6.5,"09","Set"
"4178",4178,"83592","Caratinga","Vale do Rio Doce",2014,2014-10-31,118.3,"10","Out"
"4179",4179,"83592","Caratinga","Vale do Rio Doce",2014,2014-11-30,127,"11","Nov"
"4180",4180,"83592","Caratinga","Vale do Rio Doce",2014,2014-12-31,125.1,"12","Dez"
"4181",4181,"83592","Caratinga","Vale do Rio Doce",2015,2015-01-31,3.4,"01","Jan"
"4182",4182,"83592","Caratinga","Vale do Rio Doce",2015,2015-02-28,206,"02","Fev"
"4183",4183,"83592","Caratinga","Vale do Rio Doce",2015,2015-03-31,61.1,"03","Mar"
"4184",4184,"83592","Caratinga","Vale do Rio Doce",2015,2015-04-30,56.8,"04","Abr"
"4185",4185,"83592","Caratinga","Vale do Rio Doce",2015,2015-05-31,88,"05","Mai"
"4186",4186,"83592","Caratinga","Vale do Rio Doce",2015,2015-06-30,2.5,"06","Jun"
"4187",4187,"83592","Caratinga","Vale do Rio Doce",2015,2015-07-31,0.2,"07","Jul"
"4188",4188,"83592","Caratinga","Vale do Rio Doce",2015,2015-08-31,0.9,"08","Ago"
"4189",4189,"83592","Caratinga","Vale do Rio Doce",2015,2015-09-30,24.9,"09","Set"
"4190",4190,"83592","Caratinga","Vale do Rio Doce",2015,2015-10-31,68,"10","Out"
"4191",4191,"83592","Caratinga","Vale do Rio Doce",2015,2015-11-30,126.5,"11","Nov"
"4192",4192,"83592","Caratinga","Vale do Rio Doce",2015,2015-12-31,141.3,"12","Dez"
"4193",4193,"83592","Caratinga","Vale do Rio Doce",2016,2016-01-31,260.4,"01","Jan"
"4194",4194,"83592","Caratinga","Vale do Rio Doce",2016,2016-02-29,10.1,"02","Fev"
"4195",4195,"83592","Caratinga","Vale do Rio Doce",2016,2016-03-31,149.4,"03","Mar"
"4196",4196,"83592","Caratinga","Vale do Rio Doce",2016,2016-04-30,49.2,"04","Abr"
"4197",4197,"83592","Caratinga","Vale do Rio Doce",2016,2016-05-31,7.7,"05","Mai"
"4198",4198,"83592","Caratinga","Vale do Rio Doce",2016,2016-06-30,17.6,"06","Jun"
"4199",4199,"83592","Caratinga","Vale do Rio Doce",2016,2016-07-31,0,"07","Jul"
"4200",4200,"83592","Caratinga","Vale do Rio Doce",2016,2016-08-31,0.1,"08","Ago"
"4201",4201,"83592","Caratinga","Vale do Rio Doce",2016,2016-09-30,69.7,"09","Set"
"4202",4202,"83592","Caratinga","Vale do Rio Doce",2016,2016-10-31,33.2,"10","Out"
"4203",4203,"83592","Caratinga","Vale do Rio Doce",2016,2016-11-30,257,"11","Nov"
"4204",4204,"83592","Caratinga","Vale do Rio Doce",2016,2016-12-31,165.9,"12","Dez"
"4205",4205,"83592","Caratinga","Vale do Rio Doce",2017,2017-01-31,96.1,"01","Jan"
"4206",4206,"83592","Caratinga","Vale do Rio Doce",2017,2017-02-28,123.3,"02","Fev"
"4207",4207,"83592","Caratinga","Vale do Rio Doce",2017,2017-03-31,94,"03","Mar"
"4208",4208,"83592","Caratinga","Vale do Rio Doce",2017,2017-04-30,67.1,"04","Abr"
"4209",4209,"83592","Caratinga","Vale do Rio Doce",2017,2017-05-31,20.6,"05","Mai"
"4210",4210,"83592","Caratinga","Vale do Rio Doce",2017,2017-06-30,17.9,"06","Jun"
"4211",4211,"83592","Caratinga","Vale do Rio Doce",2017,2017-07-31,5.3,"07","Jul"
"4212",4212,"83592","Caratinga","Vale do Rio Doce",2017,2017-08-31,1.2,"08","Ago"
"4213",4213,"83592","Caratinga","Vale do Rio Doce",2017,2017-09-30,0.3,"09","Set"
"4214",4214,"83592","Caratinga","Vale do Rio Doce",2017,2017-10-31,52.8,"10","Out"
"4215",4215,"83592","Caratinga","Vale do Rio Doce",2017,2017-11-30,212.8,"11","Nov"
"4216",4216,"83592","Caratinga","Vale do Rio Doce",2017,2017-12-31,252.7,"12","Dez"
"4217",4217,"83592","Caratinga","Vale do Rio Doce",2018,2018-01-31,142.9,"01","Jan"
"4218",4218,"83592","Caratinga","Vale do Rio Doce",2018,2018-02-28,239.8,"02","Fev"
"4219",4219,"83592","Caratinga","Vale do Rio Doce",2018,2018-03-31,223.4,"03","Mar"
"4220",4220,"83592","Caratinga","Vale do Rio Doce",2018,2018-04-30,135.1,"04","Abr"
"4221",4221,"83592","Caratinga","Vale do Rio Doce",2018,2018-05-31,35.2,"05","Mai"
"4222",4222,"83592","Caratinga","Vale do Rio Doce",2018,2018-06-30,1.1,"06","Jun"
"4223",4223,"83592","Caratinga","Vale do Rio Doce",2018,2018-07-31,1.1,"07","Jul"
"4224",4224,"83592","Caratinga","Vale do Rio Doce",2018,2018-08-31,8.3,"08","Ago"
"4225",4225,"83592","Caratinga","Vale do Rio Doce",2018,2018-09-30,35.3,"09","Set"
"4226",4226,"83592","Caratinga","Vale do Rio Doce",2018,2018-10-31,68.6,"10","Out"
"4227",4227,"83592","Caratinga","Vale do Rio Doce",2018,2018-11-30,85.4,"11","Nov"
"4228",4228,"83592","Caratinga","Vale do Rio Doce",2018,2018-12-31,233.6,"12","Dez"
"4229",4229,"83592","Caratinga","Vale do Rio Doce",2019,2019-01-31,39.1,"01","Jan"
"4230",4230,"83592","Caratinga","Vale do Rio Doce",2019,2019-02-28,196,"02","Fev"
"4231",4231,"83592","Caratinga","Vale do Rio Doce",2019,2019-03-31,33.7,"03","Mar"
"4232",4232,"83592","Caratinga","Vale do Rio Doce",2019,2019-04-30,102.3,"04","Abr"
"4233",4233,"83592","Caratinga","Vale do Rio Doce",2019,2019-05-31,60.4,"05","Mai"
"4234",4234,"83592","Caratinga","Vale do Rio Doce",2019,2019-06-30,0.4,"06","Jun"
"4235",4235,"83592","Caratinga","Vale do Rio Doce",2019,2019-07-31,0.2,"07","Jul"
"4236",4236,"83592","Caratinga","Vale do Rio Doce",2019,2019-08-31,1.7,"08","Ago"
"4237",4237,"83592","Caratinga","Vale do Rio Doce",2019,2019-09-30,21.5,"09","Set"
"4238",4238,"83592","Caratinga","Vale do Rio Doce",2019,2019-10-31,65.7,"10","Out"
"4239",4239,"83592","Caratinga","Vale do Rio Doce",2019,2019-11-30,184.9,"11","Nov"
"4240",4240,"83592","Caratinga","Vale do Rio Doce",2019,2019-12-31,196.3,"12","Dez"
"4241",4241,"83592","Caratinga","Vale do Rio Doce",2020,2020-01-31,374.6,"01","Jan"
"4242",4242,"83592","Caratinga","Vale do Rio Doce",2020,2020-02-29,172.3,"02","Fev"
"4243",4243,"83592","Caratinga","Vale do Rio Doce",2020,2020-03-31,204.9,"03","Mar"
"4244",4244,"83592","Caratinga","Vale do Rio Doce",2020,2020-04-30,107.7,"04","Abr"
"4245",4245,"83592","Caratinga","Vale do Rio Doce",2020,2020-05-31,NA,"05","Mai"
"4246",4246,"83592","Caratinga","Vale do Rio Doce",2020,2020-06-30,7.1,"06","Jun"
"4247",4247,"83592","Caratinga","Vale do Rio Doce",2020,2020-07-31,13.7,"07","Jul"
"4248",4248,"83592","Caratinga","Vale do Rio Doce",2020,2020-08-31,18.5,"08","Ago"
"4249",4249,"83592","Caratinga","Vale do Rio Doce",2020,2020-09-30,3.4,"09","Set"
"4250",4250,"83592","Caratinga","Vale do Rio Doce",2020,2020-10-31,253,"10","Out"
